"TOA5","Carmel Valley","CR800","39464","CR800.Std.29","CPU:ManualSample.CR8","14224","Sampler"
"TIMESTAMP","RECORD","SampleCounter","Successful_Smpl_Tot"
"TS","RN","",""
"","","Smp","Tot"
"2016-10-14 14:03:50",14164,4,0
"2016-10-14 14:03:55",14165,4,0
"2016-10-14 14:04:00",14166,4,0
"2016-10-14 14:04:05",14167,4,0
"2016-10-14 14:04:10",14168,4,0
"2016-10-14 14:04:15",14169,4,0
"2016-10-14 14:04:20",14170,4,0
"2016-10-14 14:04:25",14171,4,0
"2016-10-14 14:04:30",14172,4,0
"2016-10-14 14:04:35",14173,4,0
"2016-10-14 14:04:40",14174,4,0
"2016-10-14 14:04:45",14175,4,0
"2016-10-14 14:04:50",14176,4,0
"2016-10-14 14:04:55",14177,4,0
"2016-10-14 14:05:00",14178,4,0
"2016-10-14 14:05:05",14179,4,0
"2016-10-14 14:05:10",14180,4,0
"2016-10-14 14:05:15",14181,4,0
"2016-10-14 14:05:20",14182,4,0
"2016-10-14 14:05:25",14183,4,0
"2016-10-14 14:05:30",14184,4,0
"2016-10-14 14:05:35",14185,4,0
"2016-10-14 14:05:40",14186,4,0
"2016-10-14 14:05:45",14187,4,0
"2016-10-14 14:05:50",14188,4,0
"2016-10-14 14:05:55",14189,4,0
"2016-10-14 14:06:00",14190,4,0
"2016-10-14 14:06:05",14191,4,0
"2016-10-14 14:06:10",14192,4,0
"2016-10-14 14:06:15",14193,4,0
"2016-10-14 14:06:20",14194,4,0
"2016-10-14 14:06:25",14195,4,0
"2016-10-14 14:06:30",14196,4,0
"2016-10-14 14:06:35",14197,4,0
"2016-10-14 14:06:40",14198,4,0
"2016-10-14 14:06:45",14199,4,0
"2016-10-14 14:06:50",14200,4,0
"2016-10-14 14:06:55",14201,4,0
"2016-10-14 14:07:00",14202,4,0
"2016-10-14 14:07:05",14203,4,0
"2016-10-14 14:07:10",14204,4,0
"2016-10-14 14:07:15",14205,4,0
"2016-10-14 14:07:20",14206,4,0
"2016-10-14 14:07:25",14207,4,0
"2016-10-14 14:07:30",14208,4,0
"2016-10-14 14:07:35",14209,4,0
"2016-10-14 14:07:40",14210,4,0
"2016-10-14 14:07:45",14211,4,0
"2016-10-14 14:07:50",14212,4,0
"2016-10-14 14:07:55",14213,4,0
"2016-10-14 14:08:00",14214,4,0
"2016-10-14 14:08:05",14215,4,0
"2016-10-14 14:08:10",14216,4,0
"2016-10-14 14:08:15",14217,4,0
"2016-10-14 14:08:20",14218,4,0
"2016-10-14 14:08:25",14219,4,0
"2016-10-14 14:08:30",14220,4,0
"2016-10-14 14:08:35",14221,4,0
"2016-10-14 14:08:40",14222,4,0
"2016-10-14 14:08:45",14223,4,0
"2016-10-14 14:08:50",14224,4,0
"2016-10-14 14:08:55",14225,4,0
"2016-10-14 14:09:00",14226,4,0
"2016-10-14 14:09:05",14227,4,0
"2016-10-14 14:09:10",14228,4,0
"2016-10-14 14:09:15",14229,4,0
"2016-10-14 14:09:20",14230,4,0
"2016-10-14 14:09:25",14231,4,0
"2016-10-14 14:09:30",14232,4,0
"2016-10-14 14:09:35",14233,4,0
"2016-10-14 14:09:40",14234,4,0
"2016-10-14 14:09:45",14235,4,0
"2016-10-14 14:09:50",14236,4,0
"2016-10-14 14:09:55",14237,4,0
"2016-10-14 14:10:00",14238,4,0
"2016-10-14 14:10:05",14239,4,0
"2016-10-14 14:10:10",14240,4,0
"2016-10-14 14:10:15",14241,4,0
"2016-10-14 14:10:20",14242,4,0
"2016-10-14 14:10:25",14243,4,0
"2016-10-14 14:10:30",14244,4,0
"2016-10-14 14:10:35",14245,4,0
"2016-10-14 14:10:40",14246,4,0
"2016-10-14 14:10:45",14247,4,0
"2016-10-14 14:10:50",14248,4,0
"2016-10-14 14:10:55",14249,4,0
"2016-10-14 14:11:00",14250,4,0
"2016-10-14 14:11:05",14251,4,0
"2016-10-14 14:11:10",14252,4,0
"2016-10-14 14:11:15",14253,4,0
"2016-10-14 14:11:20",14254,4,0
"2016-10-14 14:11:25",14255,4,0
"2016-10-14 14:11:30",14256,4,0
"2016-10-14 14:11:35",14257,4,0
"2016-10-14 14:11:40",14258,4,0
"2016-10-14 14:11:45",14259,4,0
"2016-10-14 14:11:50",14260,4,0
"2016-10-14 14:11:55",14261,4,0
"2016-10-14 14:12:00",14262,4,0
"2016-10-14 14:12:05",14263,4,0
"2016-10-14 14:12:10",14264,4,0
"2016-10-14 14:12:15",14265,4,0
"2016-10-14 14:12:20",14266,4,0
"2016-10-14 14:12:25",14267,4,0
"2016-10-14 14:12:30",14268,4,0
"2016-10-14 14:12:35",14269,4,0
"2016-10-14 14:12:40",14270,4,0
"2016-10-14 14:12:45",14271,4,0
"2016-10-14 14:12:50",14272,4,0
"2016-10-14 14:12:55",14273,4,0
"2016-10-14 14:13:00",14274,4,0
"2016-10-14 14:13:05",14275,4,0
"2016-10-14 14:13:10",14276,4,0
"2016-10-14 14:13:15",14277,4,0
"2016-10-14 14:13:20",14278,4,0
"2016-10-14 14:13:25",14279,4,0
"2016-10-14 14:13:30",14280,4,0
"2016-10-14 14:13:35",14281,4,0
"2016-10-14 14:13:40",14282,4,0
"2016-10-14 14:13:45",14283,4,0
"2016-10-14 14:13:50",14284,4,0
"2016-10-14 14:13:55",14285,4,0
"2016-10-14 14:14:00",14286,4,0
"2016-10-14 14:14:05",14287,4,0
"2016-10-14 14:14:10",14288,4,0
"2016-10-14 14:14:15",14289,4,0
"2016-10-14 14:14:20",14290,4,0
"2016-10-14 14:14:25",14291,4,0
"2016-10-14 14:14:30",14292,4,0
"2016-10-14 14:14:35",14293,4,0
"2016-10-14 14:14:40",14294,4,0
"2016-10-14 14:14:45",14295,4,0
"2016-10-14 14:14:50",14296,4,0
"2016-10-14 14:14:55",14297,4,0
"2016-10-14 14:15:00",14298,4,0
"2016-10-14 14:15:05",14299,4,0
"2016-10-14 14:15:10",14300,4,0
"2016-10-14 14:15:15",14301,4,0
"2016-10-14 14:15:20",14302,4,0
"2016-10-14 14:15:25",14303,4,0
"2016-10-14 14:15:30",14304,4,0
"2016-10-14 14:15:35",14305,4,0
"2016-10-14 14:15:40",14306,4,0
"2016-10-14 14:15:45",14307,4,0
"2016-10-14 14:15:50",14308,4,0
"2016-10-14 14:15:55",14309,4,0
"2016-10-14 14:16:00",14310,4,0
"2016-10-14 14:16:05",14311,4,0
"2016-10-14 14:16:10",14312,4,0
"2016-10-14 14:16:15",14313,4,0
"2016-10-14 14:16:20",14314,4,0
"2016-10-14 14:16:25",14315,4,0
"2016-10-14 14:16:30",14316,4,0
"2016-10-14 14:16:35",14317,4,0
"2016-10-14 14:16:40",14318,4,0
"2016-10-14 14:16:45",14319,4,0
"2016-10-14 14:16:50",14320,4,0
"2016-10-14 14:16:55",14321,4,0
"2016-10-14 14:17:00",14322,4,0
"2016-10-14 14:17:05",14323,4,0
"2016-10-14 14:17:10",14324,4,0
"2016-10-14 14:17:15",14325,4,0
"2016-10-14 14:17:20",14326,4,0
"2016-10-14 14:17:25",14327,4,0
"2016-10-14 14:17:30",14328,4,0
"2016-10-14 14:17:35",14329,4,0
"2016-10-14 14:17:40",14330,4,0
"2016-10-14 14:17:45",14331,4,0
"2016-10-14 14:17:50",14332,4,0
"2016-10-14 14:17:55",14333,4,0
"2016-10-14 14:18:00",14334,4,0
"2016-10-14 14:18:05",14335,4,0
"2016-10-14 14:18:10",14336,4,0
"2016-10-14 14:18:15",14337,4,0
"2016-10-14 14:18:20",14338,4,0
"2016-10-14 14:18:25",14339,4,0
"2016-10-14 14:18:30",14340,4,0
"2016-10-14 14:18:35",14341,4,0
"2016-10-14 14:18:40",14342,4,0
"2016-10-14 14:18:45",14343,4,0
"2016-10-14 14:18:50",14344,4,0
"2016-10-14 14:18:55",14345,4,0
"2016-10-14 14:19:00",14346,4,0
"2016-10-14 14:19:05",14347,4,0
"2016-10-14 14:19:10",14348,4,0
"2016-10-14 14:19:15",14349,4,0
"2016-10-14 14:19:20",14350,4,0
"2016-10-14 14:19:25",14351,4,0
"2016-10-14 14:19:30",14352,4,0
"2016-10-14 14:19:35",14353,4,0
"2016-10-14 14:19:40",14354,4,0
"2016-10-14 14:19:45",14355,4,0
"2016-10-14 14:19:50",14356,4,0
"2016-10-14 14:19:55",14357,4,0
"2016-10-14 14:20:00",14358,4,0
"2016-10-14 14:20:05",14359,4,0
"2016-10-14 14:20:10",14360,4,0
"2016-10-14 14:20:15",14361,4,0
"2016-10-14 14:20:20",14362,4,0
"2016-10-14 14:20:25",14363,4,0
"2016-10-14 14:20:30",14364,4,0
"2016-10-14 14:20:35",14365,4,0
"2016-10-14 14:20:40",14366,4,0
"2016-10-14 14:20:45",14367,4,0
"2016-10-14 14:20:50",14368,4,0
"2016-10-14 14:20:55",14369,4,0
"2016-10-14 14:21:00",14370,4,0
"2016-10-14 14:21:05",14371,4,0
"2016-10-14 14:21:10",14372,4,0
"2016-10-14 14:21:15",14373,4,0
"2016-10-14 14:21:20",14374,4,0
"2016-10-14 14:21:25",14375,4,0
"2016-10-14 14:21:30",14376,4,0
"2016-10-14 14:21:35",14377,4,0
"2016-10-14 14:21:40",14378,4,0
"2016-10-14 14:21:45",14379,4,0
"2016-10-14 14:21:50",14380,4,0
"2016-10-14 14:21:55",14381,4,0
"2016-10-14 14:22:00",14382,4,0
"2016-10-14 14:22:05",14383,4,0
"2016-10-14 14:22:10",14384,4,0
"2016-10-14 14:22:15",14385,4,0
"2016-10-14 14:22:20",14386,4,0
"2016-10-14 14:22:25",14387,4,0
"2016-10-14 14:22:30",14388,4,0
"2016-10-14 14:22:35",14389,4,0
"2016-10-14 14:22:40",14390,4,0
"2016-10-14 14:22:45",14391,4,0
"2016-10-14 14:22:50",14392,4,0
"2016-10-14 14:22:55",14393,4,0
"2016-10-14 14:23:00",14394,4,0
"2016-10-14 14:23:05",14395,4,0
"2016-10-14 14:23:10",14396,4,0
"2016-10-14 14:23:15",14397,4,0
"2016-10-14 14:23:20",14398,4,0
"2016-10-14 14:23:25",14399,4,0
"2016-10-14 14:23:30",14400,4,0
"2016-10-14 14:23:35",14401,4,0
"2016-10-14 14:23:40",14402,4,0
"2016-10-14 14:23:45",14403,4,0
"2016-10-14 14:23:50",14404,4,0
"2016-10-14 14:23:55",14405,4,0
"2016-10-14 14:24:00",14406,4,0
"2016-10-14 14:24:05",14407,4,0
"2016-10-14 14:24:10",14408,4,0
"2016-10-14 14:24:15",14409,4,0
"2016-10-14 14:24:20",14410,4,0
"2016-10-14 14:24:25",14411,4,0
"2016-10-14 14:24:30",14412,4,0
"2016-10-14 14:24:35",14413,4,0
"2016-10-14 14:24:40",14414,4,0
"2016-10-14 14:24:45",14415,4,0
"2016-10-14 14:24:50",14416,4,0
"2016-10-14 14:24:55",14417,4,0
"2016-10-14 14:25:00",14418,4,0
"2016-10-14 14:25:05",14419,4,0
"2016-10-14 14:25:10",14420,4,0
"2016-10-14 14:25:15",14421,4,0
"2016-10-14 14:25:20",14422,4,0
"2016-10-14 14:25:25",14423,4,0
"2016-10-14 14:25:30",14424,4,0
"2016-10-14 14:25:35",14425,4,0
"2016-10-14 14:25:40",14426,4,0
"2016-10-14 14:25:45",14427,4,0
"2016-10-14 14:25:50",14428,4,0
"2016-10-14 14:25:55",14429,4,0
"2016-10-14 14:26:00",14430,4,0
"2016-10-14 14:26:05",14431,4,0
"2016-10-14 14:26:10",14432,4,0
"2016-10-14 14:26:15",14433,4,0
"2016-10-14 14:26:20",14434,4,0
"2016-10-14 14:26:25",14435,4,0
"2016-10-14 14:26:30",14436,4,0
"2016-10-14 14:26:35",14437,4,0
"2016-10-14 14:26:40",14438,4,0
"2016-10-14 14:26:45",14439,4,0
"2016-10-14 14:26:50",14440,4,0
"2016-10-14 14:26:55",14441,4,0
"2016-10-14 14:27:00",14442,4,0
"2016-10-14 14:27:05",14443,4,0
"2016-10-14 14:27:10",14444,4,0
"2016-10-14 14:27:15",14445,4,0
"2016-10-14 14:27:20",14446,4,0
"2016-10-14 14:27:25",14447,4,0
"2016-10-14 14:27:30",14448,4,0
"2016-10-14 14:27:35",14449,4,0
"2016-10-14 14:27:40",14450,4,0
"2016-10-14 14:27:45",14451,4,0
"2016-10-14 14:27:50",14452,4,0
"2016-10-14 14:27:55",14453,4,0
"2016-10-14 14:28:00",14454,4,0
"2016-10-14 14:28:05",14455,4,0
"2016-10-14 14:28:10",14456,4,0
"2016-10-14 14:28:15",14457,4,0
