"TOA5","Los Pen","CR800","39465","CR800.Std.29","CPU:SWM1000SP_Hach950_rev5-pulled from filter 03032016.CR8","21031","hourly"
"TIMESTAMP","RECORD","BatVolts_Min","Flow_950_Tot","battery_coms_fail_cntr","level_coms_fail_cntr","flow_coms_fail_cntr","flow_tot_coms_fail_cntr","ModbusInterval"
"TS","RN","volts","cfs","","","","",""
"","","Min","Tot","Smp","Smp","Smp","Smp","Smp"
"2016-10-20 13:00:00",80,13.18,365.5058,1970,1970,1969,1969,1
"2016-10-20 14:00:00",81,13.32,369.3925,1970,1970,1969,1969,1
"2016-10-20 15:00:00",82,13.27,358.4506,1970,1970,1969,1969,1
"2016-10-20 16:00:00",83,13.16,369.0844,1970,1970,1969,1969,1
"2016-10-20 17:00:00",84,13.06,360.9164,1970,1970,1969,1969,1
"2016-10-20 18:00:00",85,12.99,355.9849,1970,1970,1969,1969,1
"2016-10-20 19:00:00",86,12.93,355.0602,1970,1970,1969,1969,1
"2016-10-20 20:00:00",87,12.89,354.752,1970,1970,1969,1969,1
"2016-10-20 21:00:00",88,12.84,355.8307,1970,1970,1969,1969,1
"2016-10-20 22:00:00",89,12.82,355.5225,1970,1970,1969,1969,1
"2016-10-20 23:00:00",90,12.8,352.4403,1970,1970,1969,1969,1
"2016-10-21 00:00:00",91,12.79,352.4403,1970,1970,1969,1969,1
"2016-10-21 01:00:00",92,12.78,349.9745,1970,1970,1969,1969,1
"2016-10-21 02:00:00",93,12.77,345.0429,1970,1970,1969,1969,1
"2016-10-21 03:00:00",94,12.76,345.1971,1970,1970,1969,1969,1
"2016-10-21 04:00:00",95,12.75,343.1936,1970,1970,1969,1969,1
"2016-10-21 05:00:00",96,12.75,342.7312,1970,1970,1969,1969,1
"2016-10-21 06:00:00",97,12.74,345.8135,1970,1970,1969,1969,1
"2016-10-21 07:00:00",98,12.73,347.3546,1970,1970,1969,1969,1
"2016-10-21 08:00:00",99,12.73,349.0498,1970,1970,1969,1969,1
"2016-10-21 09:00:00",100,12.79,347.6628,1970,1970,1969,1969,1
"2016-10-21 10:00:00",101,12.83,349.8204,1970,1970,1969,1969,1
"2016-10-21 11:00:00",102,13.2,346.4299,1970,1970,1969,1969,1
"2016-10-21 12:00:00",103,13.6,341.4984,1970,1970,1969,1969,1
"2016-10-21 13:00:00",104,13.31,346.2758,1970,1970,1969,1969,1
"2016-10-21 14:00:00",105,13.14,338.5702,1970,1970,1969,1969,1
"2016-10-21 15:00:00",106,13.12,335.9503,1970,1970,1969,1969,1
"2016-10-21 16:00:00",107,13.03,331.4811,1970,1970,1969,1969,1
"2016-10-21 17:00:00",108,12.96,329.6317,1970,1970,1969,1969,1
"2016-10-21 18:00:00",109,12.9,324.2543,1970,1970,1969,1969,1
"2016-10-21 19:00:00",110,12.85,324.8543,1970,1970,1969,1969,1
